artist,url,life,artworks
James Campbell,/en/james-campbell,1828 - 1893,11
James Campbell Noble,/en/james-campbell-noble,1845 - 1913,17
José Campeche,/en/jose-campeche,c.1751 - 1809,13
Heinrich Campendonk,/en/heinrich-campendonk,1889 - 1957,20
Robert Campin,/en/robert-campin,c.1375 - 1444,36
Vincenzo Camuccini,/en/vincenzo-camuccini,1771 - 1844,39
Canaletto,/en/canaletto,1697 - 1768,171
Benjamin Canas,/en/benjamin-canas,1933 - 1987,10
Louis Cane,/en/louis-cane,born 1945,17
Niccolo Cannicci,/en/niccolo-cannicci,1846 - 1906,18
Alonzo Cano,/en/alonzo-cano,1601 - 1667,26
Antonio Canova,/en/antonio-canova,1757 - 1822,23
Mircea Cantor,/en/mircea-cantor,born 1977,14
Marie-Gabrielle Capet,/en/marie-gabrielle-capet-0,1761 - 1818,17
Benedetta Cappa,/en/benedetta,1897 - 1977,16
Leonetto Cappiello,/en/leonetto-cappiello,1875 - 1942,40
Jose Manuel Capuletti,/en/jose-manuel-capuletti,1925 - 1976,15
Caravaggio,/en/caravaggio,1571 - 1610,80
Agustin Cardenas,/en/agustin-cardenas,1927 - 2001,14
Carl Gustav Rodde,/en/carl-gustav-rodde,1830 - 1906,10
Arthur Beecher Carles,/en/arthur-beecher-carles,1882 - 1952,17
Emil Carlsen,/en/emil-carlsen,1853 - 1932,38
Otto Gustav Carlsund,/en/otto-gustav-carlsund,1897 - 1948,36
Franklin Carmichael,/en/franklin-carmichael,1890 - 1945,27
John Wilson Carmichael,/en/john-wilson-carmichael,1800 - 1868,39
Alberto Carneiro,/en/alberto-carneiro,born 1937,12
Antonio Carneiro,/en/antonio-carneiro,1872 - 1930,20
Anthony Caro,/en/anthony-caro,born 1924,14
Carolus-Duran,/en/carolus-duran,1837 - 1917,83
Nicolas Carone,/en/nicolas-carone,1917 - 2010,10
Vittore Carpaccio,/en/vittore-carpaccio,c.1465 - c.1526,53
Jean-Baptiste Carpeaux,/en/jean-baptiste-carpeaux,1827 - 1875,28
Emily Carr,/en/emily-carr,1871 - 1945,45
Kate Carr,/en/kate-carr,born 1976,11
Carlo Carra,/en/carlo-carra,1881 - 1966,76
Agostino Carracci,/en/agostino-carracci,1557 - 1602,50
Annibale Carracci,/en/annibale-carracci,1560 - 1609,81
Michel Carrade,/en/michel-carrade,born 1923,17
Juan Carreno de Miranda,/en/juan-carreno-de-miranda,1614 - 1685,26
Ethel Carrick,/en/ethel-carrick,1872 - 1951,13
Rosalba Carriera,/en/rosalba-carriera,1675 - 1757,38
Eugene Carriere,/en/eugene-carriere,1849 - 1906,20
Lilia Carrillo,/en/lilia-carrillo,1930 - 1974,13
Leonora Carrington,/en/leonora-carrington,1917 - 2011,33
Lewis Carroll,/en/lewis-carroll,1832 - 1898,46
Henri Cartier-Bresson,/en/henri-cartier-bresson,1908 - 2004,18
Ramon Casas,/en/ramon-casas,1866 - 1932,34
Felice Casorati,/en/felice-casorati,1883 - 1963,30
Cassandre,/en/cassandre,1901 - 1968,91
Mary Cassatt,/en/mary-cassatt,1844 - 1926,302
Bruno Cassinari,/en/bruno-cassinari,1912 - 1992,13
Juan Carlos Castagnino,/en/juan-carlos-castagnino,1908 - 1972,12
Andrea del Castagno,/en/andrea-del-castagno,c.1421 - 1457,40
Enrico Castellani,/en/enrico-castellani,born 1930,22
Jorge Castillo,/en/jorge-castillo,born 1933,9
Amilcar de Castro,/en/amilcar-de-castro,1920 - 2002,14
Lourdes Castro,/en/lourdes-castro,born 1930,30
Henri Catargi,/en/henri-catargi,1894 - 1976,30
George Catlin,/en/george-catlin,1796 - 1872,29
Maurizio Cattelan,/en/maurizio-cattelan,born 1960,12
Patrick Caulfield,/en/patrick-caulfield,1936 - 2005,50
Giorgio Cavallon,/en/giorgio-cavallon,1904 - 1989,11
Enrique Martínez Celaya,/en/enrique-martinez-celaya,born 1964,17
Benvenuto Cellini,/en/benvenuto-cellini,1500 - 1571,12
Vija Celmins,/en/vija-celmins,born 1938,11
Cennino Cennini,/en/cennino-cennini,c.1360 - c.1427,5
Mario Cesariny,/en/mario-cesariny,1923 - 2006,33
Paul Cezanne,/en/paul-cezanne,1839 - 1906,584
Paul Émile Chabas,/en/paul-emile-chabas,1869 - 1937,17
Roberto Chabet,/en/roberto-chabet,1937 - 2013,11
Marc Chagall,/en/marc-chagall,1887 - 1985,1018
Edgar Chahine,/en/edgar-chahine,1874 - 1947,2
Gaston Chaissac,/en/gaston-chaissac,1910 - 1964,22
Yannoulis Chalepas,/en/yannoulis-chalepas,1851 - 1938,19
John Chamberlain,/en/john-chamberlain,1927 - 2011,25
Alexandre-Jacques Chantron,/en/alexandre-jacques-chantron,1842 - 1918,11
Chaokun Wang,/en/chaokun-wang,born 1992,19
Alonzo Chappel,/en/alonzo-chappel,1828 - 1887,13
Serge Charchoune,/en/serge-charchoune,1889 - 1975,19
Jean-Baptiste-Simeon Chardin,/en/jean-baptiste-simeon-chardin,1699 - 1779,79
Charles Atamian,/en/charles-atamian,1872 - 1947,2
James Charles,/en/james-charles,1851 - 1906,66
Alan Charlton,/en/alan-charlton,born 1948,11
Lothar Charoux,/en/lothar-charoux,1912 - 1987,27
William Merritt Chase,/en/william-merritt-chase,1849 - 1916,376
Theodore Chasseriau,/en/theodore-chasseriau,1819 - 1856,38
Józef Chełmoński,/en/jozef-chelmonski,1849 - 1914,20
Chen Hong,/en/chen-hong,fl.c. 750,3
YiFei  Chen,/en/yifei-chen,born 1946,12
Jules Cheret,/en/jules-cheret,1836 - 1932,31
Sandro Chia,/en/sandro-chia,born 1946,0
Judy Chicago,/en/judy-chicago,born 1939,23
Billy Childish,/en/billy-childish,born 1959,30
Eduardo Chillida,/en/eduardo-chillida,1924 - 2002,17
Galileo Chini,/en/galileo-chini,1873 - 1956,12
Martin Chirino,/en/martin-chirino,born 1925,14
Dan Christensen,/en/dan-christensen,1942 - 2007,45
Carl-Ludwig Johann Christineck,/en/carl-ludwig-johann-christineck,c.1732 - c.1792,29
Christo and Jeanne-Claude,/en/christo-and-jeanne-claude,born 1958,9
Petrus Christus,/en/petrus-christus,c.1410 - c.1475,27
Luke Chueh,/en/luke-chueh,born 1973,15
Frederic Edwin Church,/en/frederic-edwin-church,1826 - 1900,49
Winston Churchill,/en/winston-churchill,1874 - 1965,89
Filippo Cifariello,/en/filippo-cifariello,1864 - 1936,12
Cima da Conegliano,/en/cima-da-conegliano,c.1459 - c.1517,29
Cimabue,/en/cimabue,c.1251 - 1302,18
Antonio Ciseri,/en/antonio-ciseri,1821 - 1891,19
Alexandru Ciucurencu,/en/alexandru-ciucurencu,1903 - 1977,0
Florin Ciulache,/en/florin-ciulache,born 1977,27
Mikalojus Konstantinas Ciurlionis,/en/mikalojus-ciurlionis,1875 - 1911,168
Pieter Claesz,/en/pieter-claesz,1597 - 1660,39
Claricia,/en/claricia,fl.c. 1200,26
Lygia Clark,/en/lygia-clark,1920 - 1988,21
Harry Clarke,/en/harry-clarke,1889 - 1931,69
Camille Claudel,/en/camille-claudel,1864 - 1943,14
Claudio Castillo,/en/claudio-castillo,born 1958,12
Emile Claus,/en/emile-claus,1849 - 1924,23
Francesco Clemente,/en/francesco-clemente,born 1952,17
Chuck Close,/en/chuck-close,born 1940,11
Giulio Clovio,/en/giulio-clovio,1498 - 1578,17
Teddy Cobeña,/en/teddy-cobena,born 1973,10
Alvin Langdon Coburn,/en/alvin-langdon-coburn,1882 - 1966,11
Jean Cocteau,/en/jean-cocteau,1889 - 1963,74
Pieter Codde,/en/pieter-codde,1599 - 1678,37
Sue Coe,/en/sue-coe,born 1951,188
Claudio Coello,/en/claudio-coello,1642 - 1693,15
Christo Coetzee,/en/christo-coetzee,1929 - 2000,32
Léon Cogniet,/en/leon-cogniet,1794 - 1880,20
Bernard Cohen,/en/bernard-cohen,born 1933,24
Aurel Cojan,/en/aurel-cojan,1914 - 2005,50
Adnan Coker,/en/adnan-coker,born 1927,28
Thomas Cole,/en/thomas-cole,1801 - 1848,144
John Collier,/en/john-collier,1850 - 1934,34
Jacob Collins,/en/jacob-collins,born 1964,10
William Collins,/en/william-collins,1788 - 1847,76
Gisela Colon,/en/gisela-colon,born 1966,2
Alex Colville,/en/alex-colville,1920 - 2013,76
Mario Comensoli,/en/mario-comensoli,1922 - 1993,27
Sebastiano Conca,/en/sebastiano-conca,1680 - 1764,30
Charles Conder,/en/charles-conder,1868 - 1909,4
William Congdon,/en/william-congdon,1912 - 1988,15
John Constable,/en/john-constable,1776 - 1837,115
Consuelo Hernández,/en/consuelo-hernandez,born 1950,20
Cassius Marcellus Coolidge,/en/cassius-marcellus-coolidge,1844 - 1934,32
Ron Cooper,/en/ron-cooper,born 1943,10
Cope2,/en/cope2,born 1968,10
John Singleton Copley,/en/john-singleton-copley,1738 - 1815,160
Fern Coppedge,/en/fern-coppedge,1883 - 1951,14
Edward Corbett,/en/edward-corbett,1919 - 1971,17
Le Corbusier,/en/le-corbusier,1887 - 1965,121
Lovis Corinth,/en/lovis-corinth,1858 - 1925,129
Cornbread,/en/cornbread,born 1953,5
Corneille,/en/corneille,1922 - 2010,39
Joseph Cornell,/en/joseph-cornell,1903 - 1972,28
Pedro Coronel,/en/pedro-coronel,1922 - 1985,10
Camille Corot,/en/camille-corot,1796 - 1875,495
Antonio Corpora,/en/antonio-corpora,1909 - 2004,32
Correggio,/en/correggio,c.1489 - 1534,61
Hermann David Salomon Corrodi,/en/hermann-david-salomon-corrodi,1844 - 1905,22
Mary Corse,/en/mary-corse,born 1945,15
Edouard Cortes,/en/edouard-cortes,1882 - 1969,226
Jan Cossiers,/en/jan-cossiers,1600 - 1671,20
Grace Cossington Smith,/en/grace-cossington-smith,1892 - 1984,39
Placido Costanzi,/en/placido-costanzi,1702 - 1759,13
Costin Brateanu,/en/costin-brateanu,born 1978,8
Frederick George Cotman,/en/frederick-george-cotman,1850 - 1920,36
Roman Cotosman,/en/roman-cotosman,1935 - 2006,10
Charles Cottet,/en/charles-cottet,1863 - 1925,19
Robert Cottingham,/en/robert-cottingham,born 1935,15
Gustave Courbet,/en/gustave-courbet,1819 - 1877,271
Gustave-Claude-Etienne Courtois,/en/gustave-claude-etienne-courtois,1852 - 1923,12
Thomas Couture,/en/thomas-couture,1815 - 1879,27
Frank Cadogan Cowper,/en/frank-cadogan-cowper,born 1877,19
Jan Cox,/en/jan-cox,1919 - 1980,10
Lucas Cranach the Elder,/en/lucas-cranach-the-elder,1472 - 1553,228
Walter Crane,/en/walter-crane,1845 - 1915,95
Rah Crawford,/en/rah-crawford,born 1973,14
Ralston Crawford,/en/ralston-crawford,1906 - 1978,18
Martin Creed,/en/martin-creed,born 1968,19
Louis-Philippe Crépin,/en/louis-philippe-crepin,1772 - 1851,21
Giuseppe Maria Crespi,/en/giuseppe-maria-crespi,1665 - 1747,48
Cricorps,/en/koboyan-gregoire,born 1953,39
Carlo Crivelli,/en/carlo-crivelli,c.1435 - c.1495,90
John Crome,/en/john-crome,1768 - 1821,57
Henri-Edmond Cross,/en/henri-edmond-cross,1856 - 1910,128
Joaquin Manuel Fernandez Cruzado,/en/joaquin-manuel-fernandez-cruzado,1781 - 1856,10
Carlos Cruz-Diez,/en/carlos-cruz-diez,born 1923,16
Tivadar Kosztka Csontvary,/en/tivadar-kosztka-csontvary,1853 - 1919,44
Enzo Cucchi,/en/enzo-cucchi,born 1949,40
Modest Cuixart,/en/modest-cuixart,1925 - 2007,50
Charles Courtney Curran,/en/charles-courtney-curran,1861 - 1942,13
Currier and Ives,/en/currier-and-ives,,206
John Currin,/en/john-currin,born 1962,16
Aelbert Cuyp,/en/aelbert-cuyp,1620 - 1691,17
Bela Czobel,/en/bela-czobel,1883 - 1976,30
Pietro da Cortona,/en/pietro-da-cortona,1596 - 1669,28
Giovanni da Milano,/en/giovanni-da-milano,1325 - 1370,86
Giovanni Battista Salvi da Sassoferrato,/en/giovanni-battista-salvi-da-sassoferrato,1609 - 1685,27
António de Carvalho da Silva Porto,/en/ant-nio-de-carvalho-da-silva-porto,1850 - 1893,19
Leonardo da Vinci,/en/leonardo-da-vinci,1452 - 1519,204
Daniele da Volterra,/en/daniele-da-volterra,c.1509 - c.1566,10
Leon Dabo,/en/leon-dabo,1864 - 1960,24
Antonio Dacosta,/en/antonio-dacosta,1914 - 1990,13
Dadamaino,/en/dadamaino,1930 - 2004,20
Richard Dadd,/en/richard-dadd,1817 - 1886,15
Dado,/en/dado,1933 - 2010,20
Joseph Dadoune,/en/yosef-joseph-yaakov-dadoune,born 1975,9
Pino Daeni,/en/pino-daeni,1939 - 2010,6
Johan Christian Dahl,/en/johan-christian-dahl,1788 - 1857,18
Helen Dahm,/en/helen-dahm,1878 - 1968,22
Chang Dai-chien,/en/chang-dai-chien,1899 - 1983,19
daisuke yokota,/en/daisuke-yokota,born 1983,6
Salvador Dali,/en/salvador-dali,1904 - 1989,1162
Horia Damian,/en/horia-damian,1922 - 2012,25
Pierre Emmanuel Damoye,/en/pierre-emmanuel-damoye,1847 - 1916,14
Ken Danby,/en/ken-danby,1940 - 2007,15
Daniel F.Gerhartz,/en/daniel-f-gerhartz,born 1965,37
Elin Danielson-Gambogi,/en/danielson-gambogi-elin,1861 - 1919,61
Guan Daosheng,/en/guan-daosheng,1262 - 1319,5
Nassos Daphnis,/en/nassos-daphnis,1914 - 2010,25
Nicolae Darascu,/en/nicolae-darascu,1883 - 1959,46
Hanne Darboven,/en/hanne-darboven,1941 - 2009,15
Allan D'Arcangelo,/en/allan-d-arcangelo,1930 - 1998,15
Jacques Daret,/en/jacques-daret,c.1404 - c.1470,4
Henry Darger,/en/henry-darger,1892 - 1973,26
Sandu Darie,/en/sandu-darie,1908 - 1991,13
Iran Darroudi,/en/iran-darroudi,born 1936,7
Jahar Dasgupta,/en/jahar-dasgupta,born 1942,26
Mostafa Dashti,/en/mostafa-dashti,born 1960,36
Charles-Francois Daubigny,/en/charles-francois-daubigny,1817 - 1878,95
Honore Daumier,/en/honore-daumier,1808 - 1879,255
Pierre Daura,/en/pierre-daura,1896 - 1976,15
Émile Prisse d'Avennes,/en/emile-prisse-davennes,1807 - 1879,12
Ian Davenport,/en/ian-davenport,born 1966,11
David Cox,/en/david-cox,1783 - 1859,158
Gerard David,/en/gerard-david,c.1460 - 1523,54
Jacques-Louis David,/en/jacques-louis-david,1748 - 1825,94
David James,/en/david-james,1853 - 1904,28
Jean David,/en/jean-david,1908 - 1993,86
David Davies,/en/david-davies,1864 - 1939,13
Jose Davila,/en/jose-davila,born 1974,11
Gene Davis,/en/gene-davis,1920 - 1985,221
Henry William Banks Davis,/en/henry-william-banks-davis,1833 - 1914,24
Ronald Davis,/en/ronald-davis,born 1937,17
Stuart Davis,/en/stuart-davis,1892 - 1964,20
Adrien Dax,/en/adrien-dax,1913 - 1979,10
Georgina de Albuquerque,/en/georgina-de-albuquerque,1885 - 1962,14
Édouard De Bièfve,/en/edouard-de-biefve,1808 - 1882,3
Katrien De Blauwer,/en/katrien-de-blauwer,born 1969,26
Giorgio de Chirico,/en/giorgio-de-chirico,1888 - 1978,197
Rudolf de Crignis,/en/rudolf-de-crignis,1948 - 2006,24
Cristovao de Figueiredo,/en/cristovao-de-figueiredo,c.1500 - c.1543,12
Jose de Guimaraes,/en/jose-de-guimaraes,born 1939,18
Meijer de Haan,/en/meijer-de-haan,1852 - 1895,12
Raoul De Keyser,/en/raoul-de-keyser,1930 - 2012,32
Elaine de Kooning,/en/elaine-de-kooning,1918 - 1989,33
Willem de Kooning,/en/willem-de-kooning,1904 - 1997,83
Antonio de La Gándara,/en/antonio-de-la-gandara,1861 - 1917,28
Walter De Maria,/en/walter-de-maria,1935 - 2013,14
Adolph de Meyer,/en/adolph-de-meyer,1868 - 1946,18
Evelyn De Morgan,/en/evelyn-de-morgan,1855 - 1919,64
"Robert De Niro, Sr.",/en/robert-de-niro-sr,1922 - 1993,15
Giuseppe de Nittis,/en/giuseppe-de-nittis,1846 - 1884,30
Josefa de Obidos,/en/josefa-de-obidos,1630 - 1684,18
Filippo De Pisis,/en/filippo-de-pisis,1896 - 1956,31
Fabio de Sanctis,/en/fabio-de-sanctis,born 1931,16
Andres de Santa Maria,/en/andres-de-santa-maria,1860 - 1945,10
Andre Dunoyer de Segonzac,/en/andre-dunoyer-de-segonzac,1884 - 1974,34
Angelo de Sousa,/en/angelo-de-sousa,1938 - 2011,21
Nicolas de Staël,/en/nicolas-de-sta-l,1914 - 1955,47
Charles de Steuben,/en/charles-de-steuben,1788 - 1856,41
Pierre-Henri de Valenciennes,/en/pierre-henri-de-valenciennes,1750 - 1819,31
Simon de Vlieger,/en/simon-de-vlieger,c.1601 - 1653,50
Maarten de Vos,/en/maarten-de-vos,1532 - 1603,47
Herman de Vries,/en/herman-de-vries,born 1931,27
Richard Deacon,/en/richard-deacon,born 1949,10
Edouard Debat-Ponsan,/en/edouard-debat-ponsan,1847 - 1913,11
Olivier Debre,/en/olivier-debre,1920 - 1999,49
Joseph DeCamp,/en/joseph-decamp,1858 - 1923,53
Jay DeFeo,/en/jay-defeo,1929 - 1989,18
Edgar Degas,/en/edgar-degas,1834 - 1917,625
Jean Degottex,/en/jean-degottex,1918 - 1988,58
Deiryu,/en/deiryu,1895 - 1954,16
Francesco del Cossa,/en/francesco-del-cossa,c.1430 - c.1477,95
Félix Del Marle,/en/f-lix-del-marle,1889 - 1952,32
Andrea del Verrochio,/en/andrea-del-verrochio,c.1435 - 1488,27
Eugene Delacroix,/en/eugene-delacroix,1798 - 1863,225
Tony DeLap,/en/tony-delap,born 1927,19
Paul Delaroche,/en/paul-delaroche,1797 - 1856,34
Robert Delaunay,/en/robert-delaunay,1885 - 1941,33
Sonia Delaunay,/en/sonia-delaunay,1885 - 1979,90
Carles Delclaux Is,/en/carles-delclaux-is,born 1951,17
Piero della Francesca,/en/piero-della-francesca,1412 - 1492,87
Raphael Delorme,/en/raphael-delorme,1885 - 1962,29
Paul Delvaux,/en/paul-delvaux,1897 - 1994,132
Robert Demachy,/en/robert-demachy,1859 - 1936,24
Lucia Demetriade Balacescu,/en/lucia-demetriade-balacescu,1895 - 1979,22
Charles Demuth,/en/charles-demuth,1883 - 1935,47
Maurice Denis,/en/maurice-denis,1870 - 1943,65
Andre Derain,/en/andre-derain,1880 - 1954,134
Claude Deruet,/en/claude-deruet,1588 - 1660,11
Charles Despiau,/en/charles-despiau,1874 - 1946,15
Gebre Kristos Desta,/en/gebre-kristos-desta,1932 - 1981,16
Thomas Dewing,/en/thomas-dewing,1851 - 1938,75
Aleksandr Deyneka,/en/aleksandr-deyneka,1899 - 1969,18
Daniel Dezeuze,/en/daniel-dezeuze,born 1942,20
Emiliano Di Cavalcanti,/en/emiliano-di-cavalcanti,1897 - 1976,20
Piero di Cosimo,/en/piero-di-cosimo,1462 - 1522,22
Mark di Suvero,/en/mark-di-suvero,born 1933,15
Luca di Tommé,/en/luca-di-tomme,c.1330 - c.1389,41
Martha Diamond,/en/martha-diamond,born 1944,10
Narcisse-Virgilio Diaz,/en/narcisse-virgilio-diaz,1807 - 1876,15
Jan Dibbets,/en/jan-dibbets,born 1941,10
Edwin Dickinson,/en/edwin-dickinson,1891 - 1978,28
Frank Dicksee,/en/frank-dicksee,1853 - 1928,24
Thomas Francis Dicksee,/en/thomas-francis-dicksee,1819 - 1895,13
Richard Diebenkorn,/en/richard-diebenkorn,1922 - 1993,92
Adolf Dietrich,/en/adolf-dietrich,1877 - 1957,29
Laddie John Dill,/en/laddie-john-dill,born 1943,19
Burgoyne Diller,/en/burgoyne-diller,1906 - 1965,0
Stefan Dimitrescu,/en/stefan-dimitrescu,1886 - 1933,27
Vladimir Dimitrov,/en/vladimir-dimitrov,1882 - 1960,33
Jim Dine,/en/jim-dine,born 1935,35
Abidin Dino,/en/abidin-dino,1913 - 1993,54
Mark Dion,/en/mark-dion,born 1961,11
Karl Edvard Diriks,/en/karl-edvard-diriks,1855 - 1930,14
Martin Disler,/en/martin-disler,1949 - 1996,17
Otto Dix,/en/otto-dix,1891 - 1969,128
Maynard Dixon,/en/maynard-dixon,1875 - 1946,33
Dmytro Kavsan,/en/dmytro-kavsan,born 1964,62
Dobri Dobrev,/en/dobri-dobrev,1898 - 1973,21
Vasile Dobrian,/en/vasile-dobrian,1912 - 1999,70
William Dobson,/en/william-dobson,1611 - 1646,23
Mstislav Dobuzhinsky,/en/mstislav-dobuzhinsky,1875 - 1957,165
Theo van Doesburg,/en/theo-van-doesburg,1883 - 1931,184
Burhan Dogancay,/en/burhan-dogancay,1929 - 2013,63
Peter Doig,/en/peter-doig,born 1959,42
Robert Doisneau,/en/robert-doisneau,1912 - 1994,15
Cesar Domela,/en/cesar-domela,1900 - 1992,34
Oscar Dominguez,/en/oscar-dominguez,1906 - 1958,22
Donatello,/en/donatello,c.1386 - 1466,15
Enrico Donati,/en/enrico-donati,1909 - 2008,24
Dondi,/en/dondi,1961 - 1998,13
Antonio Donghi,/en/antonio-donghi,1897 - 1963,24
Piero Dorazio,/en/piero-dorazio,1927 - 2005,25
Gustave Dore,/en/gustave-dore,1832 - 1883,759
Dosso Dossi,/en/dosso-dossi,c.1490 - 1542,40
Gerardo Dottori,/en/gerardo-dottori,1884 - 1977,20
Gerrit Dou,/en/gerrit-dou,1613 - 1675,79
Aaron Douglas,/en/aaron-douglas,1899 - 1979,16
Luis Dourdil,/en/luis-dourdil,1914 - 1989,12
Arthur Dove,/en/arthur-dove,1880 - 1946,24
Thomas Downing,/en/thomas-downing,1928 - 1985,48
Peter Downsbrough,/en/peter-downsbrough,born 1940,10
Peter Dreher,/en/peter-dreher,born 1932,10
Rosalyn Drexler,/en/rosalyn-drexler,born 1926,17
Jean Lecomte du Nouÿ,/en/jean-lecomte-du-nouy,1842 - 1923,15
Paul du Toit,/en/paul-du-toit,born 1965,20
Albert Dubois-Pillet,/en/albert-dubois-pillet,1846 - 1890,24
Jean-Francois Dubreuil,/en/jean-francois-dubreuil,born 1946,10
Pierre Dubreuil,/en/pierre-dubreuil,1872 - 1944,13
Jean Dubuffet,/en/jean-dubuffet,1901 - 1985,71
Duccio,/en/duccio,c.1255 - c.1318,135
Marcel Duchamp,/en/marcel-duchamp,1887 - 1968,81
Suzanne Duchamp,/en/suzanne-duchamp,1889 - 1963,10
Joseph Ducreux,/en/joseph-ducreux,1735 - 1802,10
Raoul Dufy,/en/raoul-dufy,1877 - 1953,161
Edmund Dulac,/en/edmund-dulac,1882 - 1953,96
Natalia Dumitresco,/en/natalia-dumitresco,1915 - 1997,15
Sorin Dumitrescu,/en/sorin-dumitrescu,born 1946,30
John Duncan,/en/john-duncan,1866 - 1945,49
Jean Dupas,/en/jean-dupas,1882 - 1964,26
Jules Dupre,/en/jules-dupre,1811 - 1889,26
Asher Brown Durand,/en/asher-brown-durand,1796 - 1886,75
Albrecht Durer,/en/albrecht-durer,1471 - 1528,845
Jimmie Durham,/en/jimmie-durham,born 1940,19
Rene Duvillier,/en/rene-duvillier,1919 - 2002,42
Willem Cornelisz Duyster,/en/willem-cornelisz-duyster,1599 - 1635,24
Mustafa Duzgunman,/en/mustafa-duzgunman,1920 - 1990,50
Dusan Dzamonja,/en/dusan-dzamonja,1928 - 2009,4
Friedel Dzubas,/en/friedel-dzubas,1915 - 1994,85
Thomas Eakins,/en/thomas-eakins,1844 - 1916,306
Ralph Earl,/en/ralph-earl,1751 - 1801,16
Eyvind Earle,/en/eyvind-earle,1916 - 2000,422
Christian Eckart,/en/christian-eckart,born 1959,10
Christoffer Wilhelm Eckersberg,/en/christoffer-wilhelm-eckersberg,1783 - 1853,15
Otto Eckmann,/en/otto-eckmann,1865 - 1902,18
Albert Edelfelt,/en/edelfelt-albert,1854 - 1905,83
Auguste Edouart,/en/auguste-edouart,1789 - 1861,12
Edward Ladell,/en/edward-ladell,1821 - 1886,10
Albin Egger-Lienz,/en/albin-egger-lienz,1868 - 1926,104
Marjan Eggermont,/en/marjan-eggermont,born 1966,15
William Eggleston,/en/william-eggleston,born 1939,15
Keisai Eisen,/en/keisai-eisen,1790 - 1848,96
Hakuin Ekaku,/en/hakuin-ekaku,c.1686 - c.1769,38
Aleksandra Ekster,/en/aleksandra-ekster,1882 - 1949,51
El Greco,/en/el-greco,1541 - 1614,170
El Lissitzky,/en/el-lissitzky,1890 - 1941,79
Micaela Eleutheriade,/en/micaela-eleutheriade,1900 - 1982,24
Olafur Eliasson,/en/olafur-eliasson,born 1967,19
Mario Eloy,/en/mario-eloy,1900 - 1951,13
Adam Elsheimer,/en/adam-elsheimer,1578 - 1610,81
Mir Emad Hassani,/en/mir-emad-hassani,1554 - 1615,12
Mirza Agha Emami,/en/mirza-agha-emami,1881 - 1955,5
Tracey Emin,/en/tracey-emin,born 1963,11
Ende,/en/ende,fl.c. 975,33
Enji Torei,/en/enji-torei,1721 - 1792,12
James Ensor,/en/james-ensor,1860 - 1949,46
Jacob Epstein,/en/jacob-epstein,1880 - 1959,11
Epsylon Point,/en/epsylon-point,born 1950,13
Adalbert Erdeli,/en/adalbert-erdeli,1891 - 1955,40
Eric Massholder,/en/erik-masskholder,born 1960,8
Erik Sigerud,/en/erik-sigerud,born 1977,11
Ali Omar Ermes,/en/ali-omar-ermes,born 1945,12
Jimmy Ernst,/en/jimmy-ernst,1920 - 1984,47
Max Ernst,/en/max-ernst,1891 - 1976,368
Erol Akyavaş,/en/erol-akyavas,1932 - 1999,13
Erro,/en/erro,born 1932,37
Erte,/en/erte,1892 - 1990,371
Elliott Erwitt,/en/elliott-erwitt,born 1928,21
Jose Escada,/en/jose-escada,1934 - 1980,20
M.C. Escher,/en/m-c-escher,1898 - 1972,470
Marisol Escobar,/en/marisol-escobar,born 1930,15
Maurice Esteve,/en/maurice-esteve,1904 - 2001,65
Ethel Reed,/en/ethel-reed,born 1874,46
Bracha L. Ettinger,/en/bracha-l-ettinger,born 1948,21
Eugene Bidau,/en/eugene-bidau,1839 - 1899,9
Frank Eugene,/en/frank-eugene,1865 - 1936,32
Richard Eurich,/en/richard-eurich,1903 - 1992,30
Fred Eversley,/en/fred-eversley,born 1941,13
Julius Evola,/en/julius-evola,1898 - 1974,15
Ivan Eyre,/en/ivan-eyre,born 1935,42
Fab 5 Freddy,/en/fab-5-freddy,born 1960,10
Gentile da Fabriano,/en/gentile-da-fabriano,c.1370 - 1427,45
Carel Fabritius,/en/carel-fabritius,1622 - 1654,19
Giandomenico Facchina,/en/giandomenico-facchina,1826 - 1904,11
Facundus,/en/facundus,fl.c. 1050,54
Oyvind Fahlstrom,/en/oyvind-fahlstrom,1928 - 1976,28
Julian Fałat,/en/julian-falat,1853 - 1929,7
Luis Ricardo Falero,/en/luis-ricardo-falero,1851 - 1896,16
Robert Falk,/en/robert-falk,1886 - 1958,28
Wojciech Fangor,/en/wojciech-fangor,born 1922,17
Henri Fantin-Latour,/en/henri-fantin-latour,1836 - 1904,289
Istvan Farkas,/en/istvan-farkas,1887 - 1944,22
Joseph Farquharson,/en/joseph-farquharson,1846 - 1935,83
Mahmoud Farshchian,/en/mahmoud-farshchian,born 1930,4
Giovanni Fattori,/en/giovanni-fattori,1825 - 1908,34
Jean Fautrier,/en/jean-fautrier,1898 - 1964,43
Fayum portrait,/en/fayum-portrait,c.50 - c.250,75
Thomas Fearnley,/en/thomas-fearnley,1802 - 1842,1 artwork
Mary Fedden,/en/mary-fedden,1915 - 2012,67
Helmut Federle,/en/helmut-federle,born 1944,11
Pavel Fedotov,/en/pavel-fedotov,1815 - 1852,42
Paul Feeley,/en/paul-feeley,1910 - 1966,48
Tony Feher,/en/tony-feher,born 1956,15
Lyonel Feininger,/en/lyonel-feininger,1871 - 1956,66
Lorser Feitelson,/en/lorser-feitelson,1898 - 1978,24
Luis Feito,/en/luis-feito,born 1929,44
