artist,url,life,artworks
Evelyne Axell,/en/evelyne-axell,1935 - 1972,28
Teodor Axentowicz,/en/teodor-axentowicz,1859 - 1938,26
Alice Aycock,/en/alice-aycock,born 1946,15
Ay-O,/en/ay-o,born 1931,15
Gillian Ayres,/en/gillian-ayres,born 1930,16
Anton Azbe,/en/anton-azbe,1862 - 1905,17
Azim Azimzade,/en/azim-azimzade,1880 - 1943,0
Deborah Azzopardi,/en/deborah-azzopardi,born 1958,20
Knud Baade,/en/knud-baade,1808 - 1879,26
Corneliu Baba,/en/corneliu-baba,1906 - 1997,38
Alice Baber,/en/alice-baber,1928 - 1982,18
Marcello Bacciarelli,/en/marcello-bacciarelli,1731 - 1818,18
Francis Bacon,/en/francis-bacon,1909 - 1992,322
Jo Baer,/en/jo-baer,born 1929,18
Olle Baertling,/en/olle-baertling,1911 - 1981,17
Firmin Baes,/en/firmin-baes,1874 - 1943,12
Sattar Bahlulzade,/en/sattar-bahlulzadeh,1909 - 1974,55
Alice Bailly,/en/alice-bailly,1872 - 1938,14
David Bailly,/en/david-bailly,1584 - 1657,17
Enrico Baj,/en/enrico-baj,1924 - 2003,64
Samuel Bak,/en/samuel-bak,born 1933,17
Leon Bakst,/en/leon-bakst,1866 - 1924,106
Sabin Balasa,/en/sabin-balasa,1932 - 2008,65
John Baldessari,/en/john-baldessari,born 1931,18
Hans Baldung,/en/hans-baldung,c.1484 - 1545,100
Endre Balint,/en/endre-balint,1914 - 1986,26
Peder Balke,/en/peder-balke,born 1804,12
Giacomo Balla,/en/giacomo-balla,1871 - 1958,69
Mario Ballocco,/en/mario-ballocco,1913 - 2008,31
Adam Baltatu,/en/adam-baltatu,1899 - 1979,65
Balthus,/en/balthus,1908 - 2001,96
Octav Bancila,/en/octav-bancila,1872 - 1944,45
Joachim Bandau,/en/joachim-bandau,born 1936,19
Banksy,/en/banksy,born c.1974,31
Walter Darby Bannard,/en/walter-darby-bannard,born 1934,28
Edward Mitchell Bannister,/en/edward-mitchell-bannister,c.1828 - 1901,16
Noma Bar,/en/noma-bar,born 1973,27
Miklos Barabas,/en/miklos-barabas,1810 - 1898,33
Amir Baradaran,/en/amir-baradaran,born 1977,13
Marcel Barbeau,/en/marcel-barbeau,born 1925,16
Thomas Jones Barker,/en/thomas-jones-barker,1815 - 1882,38
Phyllida Barlow,/en/phyllida-barlow,born 1944,10
Will Barnet,/en/will-barnet,born 1911,0
Jill Baroff,/en/jill-baroff,born 1954,10
Hannelore Baron,/en/hannelore-baron,1926 - 1987,17
François Barraud,/en/fran-ois-barraud,1899 - 1934,16
Martin Barre,/en/martin-barre,1924 - 1993,21
James Barry,/en/james-barry,1741 - 1806,19
Robert Barry,/en/robert-barry,born 1936,18
Jennifer Bartlett,/en/jennifer-bartlett,born 1941,22
Luciano Bartolini,/en/luciano-bartolini,1948 - 1994,45
Endre Bartos,/en/endre-bartos,1930 - 2006,50
Gianfranco Baruchello,/en/gianfranco-baruchello,born 1924,13
Georg Baselitz,/en/georg-baselitz,born 1938,34
Marie Bashkirtseff,/en/marie-bashkirtseff,1858 - 1884,28
Jean-Michel Basquiat,/en/jean-michel-basquiat,1960 - 1988,156
Jacopo Bassano,/en/jacopo-bassano,c.1510 - 1592,40
Jules Bastien-Lepage,/en/jules-bastien-lepage,1848 - 1884,13
David Batchelor,/en/david-batchelor,born 1955,14
Robert Bateman,/en/robert-bateman,1842 - 1922,8
